Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
ca_cave,707,372,0.39506667,0.40116667,1.21000000,2.00623333,35.49500000,7.41333333,28.86166667,109692,0.52772141,1.77837753,2.30609894
ca_cavern1_haunted,2668,1484,0.40169369,0.49060360,1.84334234,2.73563964,75.25450450,9.02162162,24.41981982,525501,1.76068497,8.51966572,10.28035069
ca_caverns1,2676,1489,0.41023318,0.48314798,1.71568610,2.60906726,59.23946188,9.13766816,26.55650224,547993,1.82221985,8.88431644,10.70653629
ca_caverns1_mines,2654,1473,0.44381818,0.53597273,1.62816364,2.60795455,45.14863636,8.62045455,28.77454545,515869,1.74776077,8.36350727,10.11126804
ca_caverns2,1937,1045,0.37286301,0.44865753,1.47321918,2.29473973,42.55479452,9.28972603,26.99246575,362532,1.34471512,5.87753677,7.22225189
ca_caverns2prc,1507,825,0.44973077,0.54348718,1.62151282,2.61473077,41.94551282,7.25320513,18.08205128,263199,1.15088272,4.26710415,5.41798687
dr_0_deeproads,2522,1328,0.45916712,0.52807123,1.40675616,2.39399452,35.54383562,5.95616438,5.18684932,675745,3.31101608,10.95549107,14.26650715
dr_dungeon,864,359,0.32370526,0.35568421,1.12294737,1.80233684,35.03789474,6.05578947,29.54526316,238157,1.12862015,3.86111164,4.98973179
dr_primevalentrance,536,274,0.38240000,0.39744444,1.00120000,1.78104444,24.01888889,6.12555556,21.86222222,103027,0.52633286,1.67032146,2.19665432
dr_primevaltomb,1424,691,0.41692050,0.47875314,1.59312971,2.48880335,42.10251046,8.12887029,17.21087866,407391,1.98580933,6.60481167,8.59062099
dr_slavers,728,293,0.31143158,0.34166316,0.98473684,1.63783158,26.61052632,5.40736842,31.68105263,216744,1.12624359,3.51395416,4.64019775
ht_0_hightown,1408,679,0.36557895,0.42490226,1.70144361,2.49192481,59.28796992,6.26090226,68.96165414,1052437,4.39860535,17.06259632,21.46120167
ht_0_hightown_a2,1428,690,0.34823704,0.41028148,1.37294815,2.13146667,35.97111111,5.44370370,64.52222222,1003790,4.35227966,16.27390862,20.62618828
ht_0_hightown_a3,1440,696,0.37326718,0.43155725,1.69230534,2.49712977,36.20839695,5.50687023,75.45801527,1050124,4.47740173,17.02509689,21.50249863
ht_0_hightown_n,1420,682,0.40785075,0.48714925,1.93597015,2.83097015,64.87238806,6.23955224,63.28134328,1043989,4.40768433,16.92563343,21.33331776
ht_bartrand_n,1096,565,0.57044828,0.61110345,1.81327586,2.99482759,34.65517241,7.22586207,39.33103448,177839,0.74139023,2.88320827,3.62459850
ht_brothel_n,846,432,0.35366667,0.40788889,1.67618519,2.43774074,57.70370370,10.44074074,52.80185185,148393,0.58707809,2.40581608,2.99289417
ht_chantry,510,271,0.31978723,0.37068085,1.24025532,1.93072340,39.30000000,6.94042553,47.36595745,114271,0.53051376,1.85261440,2.38312817
