Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
ca_cave,707,1841,372,0.42443333,0.52703333,2.01733333,2.96880000,98.62166667,13.41000000,40.02500000,135213,0.89308167,2.19213581,0.00702286,0.14128399,3.23352432,1.00000000
ca_cavern1_haunted,2668,7307,1484,0.52105405,0.88109009,2.37328829,3.77543243,115.08513514,10.88738739,33.20135135,770197,4.01691437,12.48679066,0.02787399,0.59654236,17.12812138,1.00000000
ca_caverns1,2676,7334,1489,0.53333632,0.87108520,2.37224215,3.77666368,94.18161435,10.70358744,39.10448430,783663,4.14526749,12.70510769,0.02797699,0.60006046,17.47841263,1.00000000
ca_caverns1_mines,2654,7250,1473,0.47758182,0.79810000,1.90973636,3.18541818,73.80136364,9.78181818,36.41636364,745212,3.92636490,12.08172226,0.02765656,0.59289932,16.62864304,1.00000000
ca_caverns2,1937,5180,1045,0.51458904,0.87480822,2.21305479,3.60245205,69.39383562,11.10547945,37.96780822,521431,2.85038376,8.45368099,0.01976013,0.42442894,11.74825382,1.00000000
ca_caverns2prc,1507,4068,825,0.41656410,0.65623077,1.91474359,2.98753846,80.17884615,10.90064103,29.03974359,337471,2.05819321,5.47123623,0.01551819,0.32829380,7.87324142,1.00000000
dr_0_deeproads,2522,6583,1328,0.57978082,1.06809863,2.46524384,4.11312329,97.89479452,11.60109589,11.35397260,628899,3.59966278,10.19600201,0.02511215,0.54229641,14.36307335,1.00000000
dr_dungeon,864,1771,359,0.43770526,0.64768421,2.45214737,3.53753684,92.70842105,11.83368421,59.28947368,175888,1.00620270,2.85157776,0.00675583,0.14004803,4.00458431,1.00000000
dr_primevalentrance,536,1365,274,0.44991111,0.59300000,1.79737778,2.84028889,58.27555556,8.63444444,33.54888889,114317,0.70156860,1.85336018,0.00520706,0.10569382,2.66582966,1.00000000
dr_primevaltomb,1424,3419,691,0.41158159,0.61907113,2.06561506,3.09626778,87.47740586,11.33179916,25.48200837,437641,2.35651398,7.09523869,0.01304245,0.27942848,9.74422359,1.00000000
dr_slavers,728,1440,293,0.40058947,0.59960000,2.03387368,3.03406316,74.61473684,10.16526316,58.79263158,136103,0.80437851,2.20656490,0.00549316,0.11375809,3.13019466,1.00000000
ht_0_hightown,1408,3366,679,0.43917293,0.70515789,3.88234586,5.02667669,238.72781955,16.70676692,186.72330827,916418,3.62268448,14.85739326,0.01284027,0.29018021,18.78309822,1.00000000
ht_0_hightown_a2,1428,3419,690,0.43431111,0.73857778,3.24755556,4.42044444,144.26518519,15.68444444,175.92370370,874326,3.59101105,14.17497826,0.01304245,0.29082108,18.06985283,1.00000000
ht_0_hightown_a3,1440,3449,696,0.50445802,0.81143511,3.84254962,5.15844275,163.71450382,16.25572519,226.32748092,904017,3.72677612,14.65634251,0.01315689,0.29709148,18.69336700,1.00000000
ht_0_hightown_n,1420,3379,682,0.46534328,0.82783582,4.32182090,5.61500000,267.30671642,18.30298507,173.58656716,901506,3.63091278,14.61563301,0.01288986,0.28989601,18.54933167,1.00000000
