Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
den200d,1270,3415,688,0.42418338,0.57386819,3.44955110,4.44760267,163.60076409,17.40401146,193.94746896,578874,2.89286041,9.38497353,0.01302719,0.28376484,12.57462597,1.00000000
den200n,1309,3569,717,0.38483748,0.52372849,2.70118547,3.60975143,130.59369025,13.66634799,132.79923518,687458,3.34783936,11.14538765,0.01361465,0.29623795,14.80307961,1.00000000
den201d,70,190,39,0.21690909,0.27490909,0.65981818,1.15163636,22.49090909,3.60000000,26.40909091,6011,0.04831314,0.09745312,0.00072479,0.01244259,0.15893364,1.00000000
den202d,84,233,47,0.30200000,0.30214286,0.79785714,1.40200000,31.86428571,5.48571429,17.44285714,10337,0.07450867,0.16758823,0.00088882,0.01495934,0.25794506,1.00000000
den203d,314,780,160,0.35511765,0.40482353,1.10023529,1.86017647,39.34705882,5.44117647,9.98823529,40442,0.27662277,0.65566444,0.00297546,0.05417156,0.98943424,1.00000000
den204d,207,524,106,0.31238938,0.36265487,2.71442478,3.38946903,179.68141593,16.65929204,157.10619469,97906,0.42405319,1.58729744,0.00199890,0.03864384,2.05199337,1.00000000
den206d,362,905,188,0.26556414,0.37619784,1.24732612,1.88908810,71.69706337,8.59041731,25.60432767,44333,0.33441162,0.71874714,0.00345230,0.06423378,1.12084484,1.00000000
den207d,100,247,50,0.12812500,0.29925000,0.72437500,1.15175000,18.20000000,5.09375000,8.42500000,13963,0.09407806,0.22637463,0.00094223,0.01687527,0.33827019,1.00000000
den308d,396,1016,204,0.24729032,0.36670968,1.44141935,2.05541935,70.26774194,9.12258065,62.83225806,84911,0.55622482,1.37661648,0.00387573,0.07223225,2.00894928,1.00000000
den312d,362,891,180,0.33918750,0.43306250,1.02850000,1.80075000,33.23750000,6.22812500,12.87500000,51653,0.35358429,0.83742237,0.00339890,0.06334782,1.25775337,1.00000000
den400d,1631,4399,886,0.66545000,0.99177500,11.00137500,12.65860000,756.41250000,41.93750000,1799.36000000,2937767,9.72261810,47.62843990,0.01678085,0.37482643,57.74266529,1.00000000
den401d,1161,2845,576,0.35392208,0.48285714,1.80638961,2.64316883,70.44935065,10.35714286,91.48961039,302239,1.74617004,4.90003872,0.01085281,0.23287106,6.88993263,1.00000000
den403d,166,395,80,0.24036364,0.33154545,0.80963636,1.38154545,29.78636364,4.49545455,10.80000000,20406,0.14076996,0.33083153,0.00150681,0.02769756,0.50080585,1.00000000
den404d,68,166,35,0.10153846,0.27338462,0.41569231,0.79061538,8.99230769,2.86923077,0.27692308,2751,0.02791214,0.04460049,0.00063324,0.00964260,0.08278847,1.00000000
den405d,136,326,67,0.26444444,0.32255556,0.67444444,1.26144444,20.01111111,3.50555556,1.90000000,8192,0.07637405,0.13281250,0.00124359,0.02179623,0.23222637,1.00000000
den407d,114,315,64,0.30357143,0.33442857,1.33757143,1.97557143,44.62142857,9.63571429,22.96428571,12264,0.09989166,0.19882965,0.00120163,0.02149200,0.32141495,1.00000000
den408d,122,325,65,0.33457143,0.28185714,0.72671429,1.34314286,35.13571429,5.31428571,36.77857143,19505,0.12953186,0.31622410,0.00123978,0.02158737,0.46858311,1.00000000
den500d,1708,4074,822,0.29694220,0.56781852,2.10462399,2.96938471,92.93287756,9.34369173,85.73275326,593613,3.04472733,9.62392902,0.01554108,0.33771133,13.02190876,1.00000000
den501d,1963,4779,965,0.35145937,0.57537313,2.01807629,2.94490879,98.42288557,9.32255390,63.48341625,728230,3.59839630,11.80640221,0.01823044,0.40359688,15.82662582,1.00000000
den502d,734,1997,400,0.56590975,0.59094614,6.68270742,7.83956332,390.17467249,41.34788937,546.39155750,395405,1.90774536,6.41048908,0.00761795,0.15532207,8.48117447,1.00000000
den504d,1164,3260,658,0.38276878,0.52141384,3.69552283,4.59970545,217.65243004,24.07952872,122.43593520,392064,2.17336655,6.35632324,0.01243591,0.26227093,8.80439663,1.00000000
den505d,1684,3981,805,0.27111936,0.55266543,1.97402597,2.79781076,83.97773655,10.58627087,82.38899196,534894,2.81755066,8.67194939,0.01518631,0.33269596,11.83738232,1.00000000
den510d,3832,10792,2178,0.58906625,0.85615023,5.75692227,7.20213876,342.57276995,24.12154408,435.42775170,4031007,15.75004196,65.35255337,0.04116821,0.94223499,82.08599854,1.00000000
den520d,1663,4574,917,0.51954955,0.69103604,5.00490991,6.21549550,256.40653153,24.26576577,482.87612613,1531649,6.51794815,24.83180332,0.01744843,0.38540554,31.75260544,1.00000000
den600d,1017,2605,536,0.31454286,0.47251429,1.62267143,2.40972857,86.63714286,9.87000000,24.68928571,221726,1.30990601,3.59472466,0.00993729,0.20890522,5.12347317,1.00000000
den601d,1605,3914,794,0.31474510,0.48788235,1.55261438,2.35524183,69.49477124,8.19477124,13.10065359,474224,2.63051224,7.68833923,0.01493073,0.32439613,10.65817833,1.00000000
den602d,3391,8620,1757,0.41311111,0.65388889,2.73788889,3.80488889,133.05111111,13.17851852,35.19259259,1278660,6.38903427,20.73022842,0.03288269,0.73549843,27.88764381,1.00000000
den900d,489,1324,269,0.35037037,0.44069136,3.09501235,3.88607407,165.72098765,22.74074074,117.77037037,146581,0.85549545,2.37643909,0.00505066,0.10021591,3.33720112,1.00000000
den901d,394,1054,212,0.33292111,0.40503198,1.73599147,2.47394456,92.26012793,10.49040512,166.05117271,173011,0.93376541,2.80493450,0.00402069,0.07744408,3.82016468,1.00000000
den998d,333,942,190,0.27684615,0.41215385,2.22823077,2.91723077,104.96923077,16.13076923,132.78461538,80887,0.52762222,1.31137753,0.00359344,0.06755733,1.91015053,1.00000000
hrt000d,5519,15412,3095,0.93441752,1.26869525,13.79003728,15.99315005,989.59133271,55.66309413,1783.98369059,12538787,36.21958542,203.28462505,0.05879211,1.38545227,240.94845486,1.00000000
hrt001d,442,1168,234,0.41723529,0.48070588,3.00764706,3.90558824,125.30588235,18.88823529,126.91470588,121480,0.71947861,1.96949005,0.00445557,0.08669376,2.78011799,1.00000000
hrt002d,194,481,100,0.31488987,0.32458150,0.64299559,1.28246696,18.33039648,2.78414097,13.85022026,21570,0.16589355,0.34970284,0.00183487,0.03264809,0.55007935,1.00000000
