Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
den308d,396,204,0.22400000,0.24354839,0.36419355,0.83174194,6.63548387,0.83548387,6.17419355,280546,2.49895859,4.54834175,7.04730034
den312d,362,180,0.25812500,0.25668750,0.31918750,0.83400000,5.94062500,0.93750000,2.88750000,172975,1.42279053,2.80435085,4.22714138
den400d,1631,886,0.52987500,0.42877500,1.50102500,2.45967500,19.56125000,1.83750000,104.55750000,10872245,84.30402756,176.26587391,260.56990147
den401d,1161,576,0.31122078,0.30968831,0.47563636,1.09654545,6.03506494,0.86623377,8.95714286,1173002,9.81104279,19.01725197,28.82829475
den403d,166,80,0.26981818,0.30481818,0.48872727,1.06336364,9.19545455,2.00000000,5.35909091,99647,0.93649673,1.61552334,2.55202007
den404d,68,35,0.07292308,0.18184615,0.18830769,0.44307692,4.60769231,1.05384615,0.18461538,10307,0.10822678,0.16710186,0.27532864
den405d,136,67,0.22266667,0.21744444,0.38355556,0.82366667,11.07777778,2.05000000,1.77777778,36743,0.37237167,0.59569454,0.96806622
den407d,114,64,0.21357143,0.19385714,0.41000000,0.81742857,10.67857143,2.67857143,8.18571429,43485,0.41712952,0.70499897,1.12212849
den408d,122,65,0.30685714,0.19171429,0.33571429,0.83428571,9.67142857,2.45000000,26.23571429,49473,0.38601303,0.80207920,1.18809223
den500d,1708,822,0.25163456,0.35632070,0.61978869,1.22774394,8.70043505,1.10379117,7.38719702,3091059,27.59524155,50.11368084,77.70892239
den501d,1963,965,0.33970149,0.39971808,0.58890547,1.32832504,9.50995025,0.89303483,7.43946932,3126568,26.48571396,50.68936920,77.17508316
den502d,734,400,0.41248908,0.33813683,0.57714702,1.32777293,8.35371179,0.92721980,17.37700146,2728518,27.82435608,44.23599815,72.06035423
den504d,1164,658,0.33163476,0.32580265,0.69469809,1.35213549,16.27835052,1.88217968,11.82768778,1479598,12.27196121,23.98792839,36.25988960
den505d,1684,805,0.23590600,0.35344465,0.53993816,1.12928881,7.44094001,0.95485467,6.29560915,2952291,26.57412338,47.86390972,74.43803310
den510d,3832,2178,0.48193010,0.43237350,1.37463745,2.28894105,17.00260824,1.71465832,28.58841941,13972270,107.08910370,226.52491570,333.61401939
den520d,1663,917,0.79436937,0.69110360,1.49463964,2.98011261,8.69144144,1.06306306,27.40878378,5829607,48.90465927,94.51229000,143.41694927
den600d,1017,536,0.27442857,0.32204286,0.41275714,1.00922857,8.01857143,0.83785714,2.44785714,1018215,9.21393204,16.50777340,25.72170544
den601d,1605,794,0.28461438,0.32894118,0.48039216,1.09394771,8.28300654,0.81568627,2.31568627,1910899,16.22662735,30.98038006,47.20700741
den602d,3391,1757,0.36591111,0.40633333,0.84413333,1.61637778,11.45222222,1.00407407,4.71518519,4833214,38.93806076,78.35830498,117.29636574
den900d,489,269,0.29476543,0.29254321,0.57674074,1.16404938,15.08888889,1.73827160,20.33333333,531029,4.86967087,8.60928822,13.47895908
den901d,394,212,0.29688699,0.28383795,0.38827292,0.96899787,6.09594883,1.04051173,17.36034115,880433,8.43395615,14.27398777,22.70794392
den998d,333,190,0.24423077,0.25700000,0.59246154,1.09369231,15.91538462,2.35000000,26.76538462,204620,1.57754135,3.31739426,4.89493561
hrt000d,5519,3095,0.68376514,0.49260951,1.75353215,2.92990680,15.59552656,1.05731594,50.61323392,46458110,358.87537766,753.20040703,1112.07578468
hrt001d,442,234,0.31470588,0.27817647,0.60852941,1.20141176,11.37352941,2.12647059,22.76176471,403758,3.41402817,6.54591179,9.95993996
hrt002d,194,100,0.24088106,0.20396476,0.51797357,0.96281938,14.05286344,3.84581498,11.20264317,57774,0.48268509,0.93665886,1.41934395
hrt201d,2571,1334,0.30802208,0.37398344,0.63354186,1.31554738,10.58417663,1.05151794,11.21895124,3219917,24.50036240,52.20278645,76.70314884
hrt201n,2607,1368,0.28909091,0.36662810,0.50148760,1.15720661,7.37190083,0.84132231,7.01487603,2676308,21.70141983,43.38954544,65.09096527
isound1,20,11,0.09490909,0.13972727,0.06518182,0.29981818,1.02727273,0.05454545,0.01818182,16378,0.24380493,0.26552773,0.50933266
lak100c,3725,2122,0.36844488,0.43650591,1.10983268,1.91478346,18.67864173,1.48622047,21.07185039,9084121,62.55167007,147.27597904,209.82764912
lak100d,4572,2571,0.40005976,0.44476096,1.35557769,2.20039841,25.22061753,1.73655378,35.24651394,10838449,71.62524033,175.71795750,247.34319782
lak100n,3875,2210,0.36851670,0.42491159,0.97200393,1.76543222,10.88948919,1.36984283,16.02406680,8730634,60.01362991,141.54508400,201.55871391
lak101d,52,25,0.17900000,0.17275000,0.07675000,0.42850000,1.72500000,0.40000000,2.62500000,8746,0.10069656,0.14179420,0.24249077
lak102d,90,42,0.13492308,0.17553846,0.34538462,0.65584615,11.56923077,2.78461538,9.61538462,25877,0.21735764,0.41952991,0.63688755
lak103d,136,67,0.16047297,0.18972973,0.25175676,0.60195946,7.29054054,1.03716216,4.88175676,39647,0.35668945,0.64277554,0.99946499
lak104d,100,52,0.10076923,0.19030769,0.50692308,0.79800000,15.78461538,4.00000000,12.07692308,36629,0.35649109,0.59384632,0.95033741
lak105d,91,43,0.10880000,0.15720000,0.24100000,0.50700000,7.32000000,1.25000000,1.62000000,25758,0.21013641,0.41760063,0.62773705
lak106d,215,111,0.30800000,0.35072000,0.45960000,1.11832000,5.39600000,0.92400000,3.64400000,155712,1.47761536,2.52447510,4.00209045
lak107d,56,28,0.18654545,0.29345455,0.21763636,0.69763636,2.99090909,0.66363636,2.35454545,10117,0.11458969,0.16402149,0.27861118
lak108d,72,33,0.21022222,0.19155556,0.13422222,0.53600000,2.67777778,0.73333333,3.17777778,12542,0.12106705,0.20333672,0.32440376
lak109d,96,58,0.25415385,0.19953846,0.31969231,0.77338462,9.77692308,2.44615385,9.84615385,19374,0.15468216,0.31410027,0.46878242
lak110d,36,16,0.16714286,0.16685714,0.12485714,0.45885714,2.58571429,0.72857143,2.85714286,4660,0.04870987,0.07555008,0.12425995
lak200d,786,436,0.32396721,0.28200000,0.52649180,1.13245902,12.89180328,1.87704918,10.64426230,897058,8.45693588,14.54351997,23.00045586
lak201d,1277,663,0.32144578,0.30891566,0.43081928,1.06118072,7.74457831,0.90120482,4.18192771,1043870,9.16721725,16.92370415,26.09092140
lak202d,629,325,0.27388571,0.29765714,0.46397143,1.03551429,12.48571429,1.33571429,4.18714286,442744,4.07922745,7.17797089,11.25719833
lak203d,447,201,0.24705882,0.23605882,0.37447059,0.85758824,5.76764706,1.38823529,6.81176471,239477,2.24969101,3.88251209,6.13220310
lak250d,1101,611,0.31749104,0.28960573,0.41605735,1.02315412,7.77777778,1.43727599,13.20071685,768748,6.49610901,12.46329880,18.95940781
lak300d,589,336,0.46419562,0.34223938,0.89652510,1.70296010,13.58043758,1.71299871,43.66409266,2438955,22.20933151,39.54146862,61.75080013
lak302d,1176,573,0.28811958,0.32000000,0.40206365,1.01018322,6.12729026,0.89296046,3.47830280,1081713,9.71124268,17.53723240,27.24847507
lak303d,2530,1409,0.45952830,0.40396226,0.98262264,1.84611321,13.55566038,1.68207547,18.64716981,3669434,22.43001938,59.49056435,81.92058372
lak304d,3024,1653,0.37050453,0.37813713,0.79252264,1.54116429,12.69081501,1.54592497,26.06338939,4179715,25.67659378,67.76347637,93.44007015
lak307d,288,158,0.25037037,0.25185185,0.25546296,0.75768519,4.36111111,0.87500000,18.98148148,581035,5.43584824,9.42000866,14.85585690
lak308d,1695,944,0.34487472,0.34686409,0.63143508,1.32317388,13.07972665,1.36218679,10.26044039,1898239,13.72027206,30.77513027,44.49540234
lak400d,3501,1972,0.39237809,0.40357089,1.30139535,2.09734434,22.82295574,1.81170293,30.40135034,12935791,105.98548889,209.72103786,315.70652676
lak401d,3972,2058,0.34879634,0.43230206,0.80583982,1.58693822,10.07093822,1.06270023,3.95560641,6504194,52.78939819,105.44900703,158.23840523
lak403d,1281,738,0.50895660,0.37556787,1.45758079,2.34210526,33.21606648,2.32963989,135.31209603,9274515,69.89517975,150.36273479,220.25791454
lak404d,1266,654,0.54944974,0.32940572,0.54783566,1.42669112,7.53264857,0.97945708,8.62729274,1603729,14.30434799,26.00039768,40.30474567
lak405d,5171,2910,0.38115036,0.45170406,1.01022434,1.84307876,17.79307876,1.30190931,7.13794749,9355434,74.52145767,151.67463112,226.19608879
lak503d,2573,1392,0.43108065,0.40670968,0.98454839,1.82233871,13.16048387,1.47822581,18.95483871,4115444,26.64580917,66.72148514,93.36729431
lak504d,2962,1586,0.42498688,0.42821522,0.87496063,1.72816273,16.26509186,1.43175853,27.01574803,3930302,24.39595413,63.71987724,88.11583138
lak505d,2785,1536,0.49953042,0.45346852,1.28399146,2.23699039,16.73212380,1.83137673,29.51974386,4951352,32.90474319,80.27361298,113.17835617
lak506d,2446,1336,0.36042735,0.39938462,0.81823932,1.57805128,11.05897436,1.58461538,10.61709402,2577895,17.38283157,41.79402828,59.17685986
