Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
AR0314SR,368,208,0.41340680,0.38506887,8.71586777,9.51434343,558.22405877,64.00642792,456.15151515,28594,0.05201340,0.46357918,0.51559258
AR0316SR,352,202,0.44287405,0.43834320,12.19360947,13.07482671,872.59425190,74.05156382,445.71935757,32219,0.05260849,0.52234936,0.57495785
AR0317SR,362,207,0.40546701,0.37619537,8.10658098,8.88824336,511.82262211,59.59040274,535.37532134,32311,0.05794907,0.52384090,0.58178997
AR0331SR,356,220,0.39102740,0.42631849,9.30619863,10.12354452,700.09332192,61.34246575,327.76113014,30167,0.03803635,0.48908138,0.52711773
AR0400SR,3604,2097,0.71765625,0.95148438,28.60135938,30.27050000,2492.90156250,169.57031250,2132.81640625,256081,0.22649765,4.15170383,4.37820148
AR0404SR,2398,1486,0.59032813,0.63259375,25.55729687,26.78021875,2723.14453125,172.05781250,1406.48046875,199103,0.14100266,3.22795010,3.36895275
AR0405SR,1900,1044,0.52753125,0.58214062,16.85250000,17.96217187,1522.04062500,120.85703125,771.27812500,90308,0.11976242,1.46411514,1.58387756
AR0406SR,3778,2196,0.53281250,0.78039062,28.73306250,30.04626563,2808.46250000,214.60937500,1075.38046875,169414,0.15975571,2.74661827,2.90637398
AR0410SR,272,160,0.34981691,0.34971229,3.48109852,4.18062772,170.97297297,29.98605057,99.70183086,12919,0.03202438,0.20944881,0.24147320
AR0411SR,1914,1143,0.45720313,0.54460937,10.59932813,11.60114062,879.01718750,77.01718750,319.20156250,62034,0.08828354,1.00572395,1.09400749
AR0412SR,862,512,0.44948437,0.49589063,9.56534375,10.51071875,650.91640625,66.34609375,488.99687500,54780,0.09408188,0.88811874,0.98220062
AR0413SR,352,215,0.27057812,0.37884375,4.53928125,5.18870313,288.76796875,37.61328125,111.53750000,9483,0.01856613,0.15374279,0.17230892
AR0414SR,2144,1326,0.83649329,1.10040268,48.63830537,50.57520134,4549.52684564,220.48238255,3991.24328859,253957,0.21732712,4.11726856,4.33459568
AR0418SR,122,71,0.17810069,0.27054920,0.16498856,0.61363844,6.23226545,1.66590389,5.77459954,4148,0.01877975,0.06724930,0.08602905
AR0500SR,4832,2916,0.89320313,1.02260938,28.39281250,30.30862500,2428.24218750,175.56328125,1511.25312500,209752,0.20652390,3.40059662,3.60712051
AR0502SR,336,187,0.34596965,0.38532884,5.17689713,5.90819562,290.52529511,41.32715008,199.81618887,17588,0.04211044,0.28514481,0.32725525
AR0503SR,316,183,0.31229592,0.35107143,4.55801020,5.22137755,269.56632653,38.74574830,109.07482993,10918,0.02791977,0.17700768,0.20492744
AR0504SR,1918,1101,0.72765079,0.86003175,28.68892063,30.27660317,2182.89603175,158.69047619,1212.96587302,132076,0.15880966,2.14127731,2.30008698
AR0505SR,1818,1075,0.86731250,1.09010938,32.88843750,34.84585938,2158.69453125,176.29140625,1401.70000000,143610,0.16169357,2.32827187,2.48996544
AR0506SR,462,265,0.35803846,0.42507692,6.87830769,7.66142308,392.37596154,56.61538462,304.29038462,22836,0.04858017,0.37022781,0.41880798
AR0509SR,472,275,0.40048438,0.48881250,10.27176562,11.16106250,670.43203125,65.37968750,436.87734375,31900,0.05875778,0.51717758,0.57593536
AR0510SR,1266,732,0.66120313,0.81407813,31.68448438,33.15976563,2687.20625000,152.11328125,2382.95468750,149282,0.13984299,2.42022896,2.56007195
AR0511SR,1080,629,0.61723437,0.74406250,19.88350000,21.24479687,1209.74375000,107.13593750,826.44296875,77104,0.09840012,1.25004578,1.34844589
AR0513SR,508,298,0.49126563,0.48465625,13.20762500,14.18354688,924.75078125,86.18906250,540.06406250,49802,0.08160019,0.80741310,0.88901329
AR0516SR,1074,624,0.50585938,0.55645312,12.21268750,13.27500000,812.03593750,90.01093750,461.55234375,40264,0.06583786,0.65277863,0.71861649
AR0517SR,120,62,0.21496447,0.31474112,0.35557360,0.88527919,12.42538071,3.23959391,12.05380711,4192,0.02097702,0.06796265,0.08893967
AR0526SR,356,220,0.39171233,0.44107877,9.14089041,9.97368151,700.09332192,61.34246575,327.76113014,30167,0.03803635,0.48908138,0.52711773
