Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
AR0011SR,2198,1339,0.57103125,0.56967187,6.20278125,7.34348437,312.45859375,31.90937500,675.13359375,1057101,1.56983566,17.13821125,18.70804691
AR0012SR,1930,1132,0.46715625,0.53418750,5.39785937,6.39920312,246.82890625,29.16171875,475.96406250,565361,1.02120590,9.16589451,10.18710041
AR0013SR,2038,1197,0.47017456,0.57675810,10.01975062,11.06668329,643.87863674,49.45469659,1784.18370740,1009288,1.28019333,16.36304474,17.64323807
AR0014SR,1762,1027,0.48767480,0.54115447,7.73741463,8.76624390,442.63089431,38.85528455,1264.44227642,838281,1.13019943,13.59060001,14.72079945
AR0015SR,658,368,0.39840580,0.39874396,2.56834138,3.36549114,113.28743961,14.85024155,180.14090177,194551,0.62263107,3.15415096,3.77678204
AR0016SR,690,401,0.42034398,0.41177723,2.99493857,3.82705979,160.32760033,17.20065520,261.65192465,249320,0.56176376,4.04209137,4.60385513
AR0017SR,622,352,0.35059375,0.37042188,1.53682812,2.25784375,59.91484375,10.13437500,64.18828125,128078,0.46123886,2.07645988,2.53769875
AR0018SR,938,548,0.40300000,0.42731250,3.97125000,4.80156250,195.81640625,21.97890625,472.55781250,423286,0.95431137,6.86250877,7.81682014
AR0020SR,330,196,0.43644444,0.34084127,1.57731746,2.35460317,67.06825397,10.24444444,243.65793651,168778,0.56007004,2.73630714,3.29637718
AR0041SR,246,143,0.36126562,0.32031250,0.38160937,1.06318750,14.22109375,2.49531250,52.51875000,122596,0.52428818,1.98758316,2.51187134
AR0042SR,162,104,0.25057812,0.29020312,0.21928125,0.76006250,6.92578125,1.35156250,21.83671875,103642,0.54298019,1.68029213,2.22327232
AR0043SR,188,113,0.30626563,0.29053125,0.24200000,0.83879688,5.89296875,1.42187500,18.36015625,68764,0.44880295,1.11483383,1.56363678
AR0044SR,84,57,0.20334375,0.24850000,0.24946875,0.70131250,6.81953125,1.29218750,15.36953125,75489,0.56162643,1.22386265,1.78548908
AR0045SR,296,184,0.42870312,0.39181250,1.06046875,1.88098438,31.63046875,5.66250000,99.92265625,134332,0.56647873,2.17785263,2.74433136
