Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
arena,112,55,0.28975000,0.23075000,3.65812500,4.17862500,290.01250000,27.92500000,62.05000000,5273,0.01232529,0.08548832,0.09781361
arena2,1075,547,0.50749193,0.52673843,7.69188375,8.72611410,385.68891281,45.87190527,388.20990312,136500,0.28208542,2.21300125,2.49508667
brc000d,2353,1331,0.71200000,0.68943529,26.11520000,27.51663529,2094.46588235,109.06470588,4889.98588235,1160518,1.16183472,18.81485558,19.97669029
brc100d,3334,1918,0.52471659,0.56110567,10.15644507,11.24226732,807.70748775,65.03568929,534.14485654,657980,0.75350571,10.66747665,11.42098236
brc101d,2646,1534,0.57232426,0.58459785,8.43313490,9.59005700,757.20455985,42.35845472,526.08993034,499860,0.58985519,8.10396194,8.69381714
brc200d,1322,708,0.62878667,0.37673333,4.02878667,5.03430667,230.77800000,37.23666667,91.18733333,110574,0.22473526,1.79267693,2.01741219
brc201d,4214,2170,0.48091118,0.54332260,5.68548550,6.70971928,363.52646111,36.96410492,205.31431201,270700,0.41242981,4.38871384,4.80114365
brc202d,4035,2013,0.43444224,0.52604208,5.58763001,6.54811433,319.50575625,38.48828900,235.34021437,377798,0.66931534,6.12503624,6.79435158
brc203d,2258,1190,0.50221212,0.54574242,6.76057576,7.80853030,358.10378788,45.94696970,403.05227273,200028,0.35992813,3.24294662,3.60287476
brc204d,2399,1254,0.47516796,0.55625323,8.37049096,9.40191214,494.93475452,47.90180879,462.18346253,249106,0.44947815,4.03862190,4.48810005
brc300d,848,483,0.44078689,0.42691803,6.76214754,7.62985246,436.19836066,52.57131148,105.27786885,52987,0.08538437,0.85904980,0.94443417
brc501d,2853,1601,0.85589781,0.79448175,34.10075912,35.75113869,3351.60218978,118.78394161,3213.94744526,2126377,1.84199905,34.47380924,36.31580830
brc502d,670,394,0.50032787,0.39073770,11.06389344,11.95495902,849.41188525,79.25614754,789.37500000,84515,0.13067245,1.37019634,1.50086880
brc503d,4313,2433,0.75558824,0.76457801,22.78874680,24.30891304,1862.61828645,89.11508951,2051.08631714,1690820,1.85163498,27.41235733,29.26399231
brc504d,5007,2739,0.70435768,0.69279597,15.28770781,16.68486146,1078.32178841,86.21725441,553.18576826,828380,1.06391525,13.43008041,14.49399567
brc505d,3903,2186,0.74971242,0.74800000,21.72879739,23.22650980,1735.69542484,94.31699346,1563.65424837,1135073,1.16014099,18.40232944,19.56247044
brc997d,1751,1003,0.66524300,0.60524300,22.72468336,23.99516937,1870.52724595,105.34904271,3164.80412371,544180,0.66651535,8.82249832,9.48901367
brc999d,782,460,0.65269565,0.44056522,13.12073913,14.21400000,879.67391304,71.51086957,2646.37391304,241768,0.34759140,3.91965485,4.26724625
combat,44,28,0.18330757,0.18945904,0.49471406,0.86748068,24.64605873,4.94126739,25.04945904,7860,0.04900742,0.12742996,0.17643738
combat2,38,22,0.23143740,0.28550232,0.68695518,1.20389490,22.58423493,4.68933539,18.63833076,6787,0.04476547,0.11003399,0.15479946
den000d,3997,2244,0.77219048,0.65509524,11.52973016,12.95701587,601.54682540,57.35793651,1180.39047619,1093422,1.52595139,17.72706413,19.25301552
den001d,484,245,0.67815686,0.41584314,7.40043137,8.49443137,344.51372549,46.80588235,330.38235294,35178,0.08217239,0.57032204,0.65249443
den005d,1953,976,0.34213720,0.44197889,3.27291557,4.05703166,169.59234828,26.95052770,71.13192612,74546,0.16033554,1.20857430,1.36890984
den009d,94,47,0.21890000,0.23210000,1.40230000,1.85330000,90.09500000,20.15500000,10.88500000,1102,0.00436020,0.01786613,0.02222633
den011d,1346,604,0.42343590,0.44976923,5.37925641,6.25246154,290.75641026,43.66025641,163.58461538,67406,0.14588547,1.09281731,1.23870277
den012d,1541,852,0.43777403,0.40934233,5.07728499,5.92440135,316.42833052,35.10370995,484.10455312,224918,0.41956711,3.64647484,4.06604195
den020d,369,191,0.21390476,0.29342857,2.33733333,2.84466667,154.95000000,24.41428571,27.76428571,10010,0.02589035,0.16228676,0.18817711
den101d,162,87,0.31172727,0.28727273,2.17709091,2.77609091,113.75454545,21.13181818,40.49090909,2150,0.00734711,0.03485680,0.04220390
den200d,1270,688,0.41128940,0.41749761,5.44496657,6.27375358,308.71060172,40.42788921,313.61509074,103890,0.21090317,1.68431282,1.89521599
den200n,1309,717,0.38852772,0.39919694,4.82680688,5.61453155,281.23231358,40.58413002,288.83652008,113572,0.23070908,1.84128189,2.07199097
den201d,70,39,0.22800000,0.27200000,2.42690909,2.92690909,134.20000000,25.88181818,31.53636364,879,0.00286865,0.01425076,0.01711941
den202d,84,47,0.25585714,0.22200000,2.93685714,3.41471429,257.20714286,38.65714286,38.41428571,1656,0.00437927,0.02684784,0.03122711
den203d,314,160,0.29558824,0.29641176,2.81405882,3.40605882,183.32058824,32.91470588,13.46176471,5766,0.01523209,0.09348106,0.10871315
den204d,207,106,0.31106195,0.28539823,5.68230088,6.27876106,467.88053097,43.73008850,312.00000000,15831,0.02981567,0.25665951,0.28647518
den206d,362,188,0.27870170,0.31746522,2.69128284,3.28744977,180.71097372,27.64142195,44.63369397,9631,0.02705002,0.15614223,0.18319225
den207d,100,50,0.15912500,0.32687500,3.25075000,3.73675000,143.20000000,25.28750000,31.76875000,1983,0.00620651,0.03214931,0.03835583
den308d,396,204,0.25200000,0.29967742,2.98516129,3.53683871,183.59354839,32.06774194,118.36129032,14511,0.03367996,0.23525906,0.26893902
den312d,362,180,0.27668750,0.27918750,1.52675000,2.08262500,92.55000000,16.73750000,21.69062500,5988,0.01564407,0.09708023,0.11272430
den400d,1631,886,0.60135000,0.53110000,13.06710000,14.19955000,1011.07375000,61.87125000,2210.86500000,574511,0.85029602,9.31423855,10.16453457
den401d,1161,576,0.43389610,0.46311688,3.84805195,4.74506494,148.52207792,26.58181818,140.62987013,49199,0.11027145,0.79763699,0.90790844
den403d,166,80,0.18245455,0.22436364,1.96872727,2.37554545,131.13181818,23.22272727,21.81363636,3238,0.00985336,0.05249596,0.06234932
den404d,68,35,0.07569231,0.17353846,1.01692308,1.26615385,47.31538462,19.48461538,4.27692308,409,0.00183487,0.00663090,0.00846577
den405d,136,67,0.21177778,0.20677778,1.48266667,1.90122222,84.82222222,19.03888889,4.07777778,1384,0.00548553,0.02243805,0.02792358
den407d,114,64,0.24271429,0.22085714,3.22657143,3.69014286,203.27857143,39.88571429,35.40000000,1581,0.00506210,0.02563190,0.03069401
den408d,122,65,0.50700000,0.34428571,4.16614286,5.01742857,215.30000000,28.44285714,36.47857143,2359,0.00648117,0.03824520,0.04472637
den500d,1708,822,0.30118086,0.46052206,3.66304537,4.42474829,194.90926041,24.94592915,155.12989434,115445,0.27086258,1.87164783,2.14251041
den501d,1963,965,0.35031509,0.42563847,3.73169154,4.50764511,215.09121061,28.17330017,110.55058043,140731,0.29603195,2.28159618,2.57762814
den502d,734,400,0.50148472,0.44585153,5.74503639,6.69237263,317.82387191,38.43085881,548.85152838,124917,0.30701828,2.02521229,2.33223057
den504d,1164,658,0.43761414,0.46921944,6.38883652,7.29567010,369.78350515,45.20029455,213.20176730,72863,0.14470291,1.18128872,1.32599163
den505d,1684,805,0.33905999,0.58841064,3.88100186,4.80847248,154.61224490,22.82436611,137.80086580,106601,0.25979996,1.72826481,1.98806477
den510d,3832,2178,0.56591549,0.53699531,9.99139280,11.09430360,658.55972874,60.66510172,775.66249348,782636,1.23817825,12.68845749,13.92663574
den520d,1663,917,0.53409910,0.50590090,6.45945946,7.49945946,328.97297297,36.61936937,593.48648649,291589,0.53467941,4.72737598,5.26205540
den600d,1017,536,0.33217143,0.40254286,2.81612857,3.55084286,167.14928571,23.95285714,53.84285714,43342,0.10890198,0.70268059,0.81158257
den601d,1605,794,0.31227451,0.38465359,2.63947712,3.33640523,148.55620915,23.77712418,31.09215686,93715,0.20200729,1.51935101,1.72135830
den602d,3391,1757,0.41807407,0.46338519,4.57422222,5.45568148,245.40333333,35.47666667,56.50962963,229199,0.43539810,3.71588039,4.15127850
den900d,489,269,0.37061728,0.38355556,6.83323457,7.58740741,433.34567901,61.35061728,290.49876543,25691,0.05979538,0.41651440,0.47630978
den901d,394,212,0.33023454,0.32362473,2.85953092,3.51339019,175.67803838,23.21321962,280.73560768,36531,0.08515549,0.59225750,0.67741299
den998d,333,190,0.27846154,0.30884615,5.91430769,6.50161538,414.34230769,56.10000000,227.18076923,10084,0.02245712,0.16348648,0.18594360
hrt000d,5519,3095,0.84705499,0.70735322,11.99159366,13.54600186,716.33317801,54.64119292,1355.06523765,2619582,3.36682510,42.46987724,45.83670235
hrt001d,442,234,0.37535294,0.33400000,6.27358824,6.98294118,415.76470588,56.08823529,248.00000000,20252,0.04183960,0.32833481,0.37017441
hrt002d,194,100,0.26687225,0.24185022,3.55682819,4.06555066,255.08370044,43.89427313,40.88546256,2663,0.00782394,0.04317379,0.05099773
hrt201d,2571,1334,0.34187672,0.43696412,3.80885005,4.58769089,230.50597976,26.66237351,187.21067157,139301,0.26145172,2.25841236,2.51986408
hrt201n,2607,1368,0.34429752,0.48834711,3.26685950,4.09950413,151.71157025,26.46280992,125.97272727,115229,0.23913193,1.86814594,2.10727787
isound1,20,11,0.09381818,0.13854545,0.13227273,0.36463636,5.57727273,2.37727273,0.00909091,207,0.00153732,0.00335598,0.00489330
lak100c,3725,2122,0.43281496,0.53926181,5.68678150,6.65885827,391.39468504,35.02952756,284.07578740,505049,0.69726181,8.18808842,8.88535023
lak100d,4572,2571,0.47545817,0.57443227,10.37652390,11.42641434,815.08615538,57.54183267,488.13247012,613499,0.79703903,9.94633007,10.74336910
lak100n,3875,2210,0.42521611,0.55673870,4.72646365,5.70841847,253.76817289,32.09479371,246.12131631,484168,0.67344284,7.84955597,8.52299881
lak101d,52,25,0.21525000,0.21675000,0.78900000,1.22100000,40.31250000,10.63750000,0.72500000,281,0.00135422,0.00455570,0.00590992
lak102d,90,42,0.13707692,0.19430769,2.53584615,2.86723077,207.00000000,35.70000000,31.79230769,882,0.00273514,0.01429939,0.01703453
lak103d,136,67,0.17864865,0.22844595,2.98695946,3.39405405,246.10810811,40.85135135,28.38851351,2043,0.00651169,0.03312206,0.03963375
lak104d,100,52,0.10661538,0.22246154,3.82092308,4.15000000,263.03076923,54.52307692,42.50769231,1344,0.00476074,0.02178955,0.02655029
lak105d,91,43,0.10800000,0.17100000,2.55780000,2.83680000,230.61000000,32.40000000,5.52000000,992,0.00262070,0.01608276,0.01870346
lak106d,215,111,0.23248000,0.26552000,2.15232000,2.65032000,137.04800000,23.03200000,118.02800000,6287,0.01577377,0.10192776,0.11770153
lak107d,56,28,0.13654545,0.19818182,0.66781818,1.00254545,36.31818182,11.04545455,11.36363636,284,0.00146866,0.00460434,0.00607300
lak108d,72,33,0.21355556,0.18533333,0.75666667,1.15555556,40.76666667,10.87777778,14.37777778,383,0.00155258,0.00620937,0.00776196
lak109d,96,58,0.27400000,0.21630769,1.87723077,2.36753846,137.00000000,27.60000000,16.18461538,699,0.00222778,0.01133251,0.01356030
lak110d,36,16,0.19371429,0.21457143,0.77228571,1.18057143,39.25714286,10.15714286,0.45714286,171,0.00086594,0.00277233,0.00363827
lak200d,786,436,0.49262295,0.46731148,5.42950820,6.38944262,275.80819672,33.70655738,94.95245902,41568,0.10103226,0.67391968,0.77495193
lak201d,1277,663,0.36874699,0.38028916,2.87106024,3.62009639,144.94819277,24.44216867,68.40722892,46245,0.11188889,0.74974537,0.86163425
lak202d,629,325,0.30357143,0.34700000,2.81448571,3.46505714,174.43714286,25.20000000,26.94857143,18117,0.04981613,0.29372120,0.34353733
lak203d,447,201,0.27847059,0.28070588,4.23764706,4.79682353,259.87647059,43.89411765,87.24117647,8581,0.02667618,0.13911915,0.16579533
lak250d,1101,611,0.41605735,0.40931900,5.01082437,5.83620072,296.12186380,38.14336918,143.02508961,36545,0.07971191,0.59248447,0.67219639
lak300d,589,336,0.74138996,0.54620335,9.69287001,10.98046332,483.81724582,49.41956242,496.85328185,109218,0.19941330,1.77069283,1.97010612
lak302d,1176,573,0.31066538,0.36036644,2.17633558,2.84736741,98.62777242,21.09257473,42.95274831,39631,0.10816193,0.64251614,0.75067806
lak303d,2530,1409,0.59464151,0.58730189,8.37411321,9.55605660,490.40094340,51.48301887,273.48867925,216632,0.29202271,3.51213837,3.80416107
lak304d,3024,1653,0.44416559,0.51425614,8.49278137,9.45120310,580.69210867,61.00258732,684.62871928,253038,0.32182312,4.10236931,4.42419243
lak307d,288,158,0.27537037,0.27675926,3.02509259,3.57722222,175.38425926,23.19444444,231.63425926,23495,0.05222702,0.38091183,0.43313885
lak308d,1695,944,0.39757024,0.42056188,4.79630979,5.61444191,272.84965831,45.80561883,121.32574032,100776,0.17923737,1.63382721,1.81306458
lak400d,3501,1972,0.47354839,0.52576144,11.70552138,12.70483121,1018.42910728,63.95648912,605.98649662,726963,1.07164001,11.78586102,12.85750103
