Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
AR0526SR,356,1977,220,0.40792808,0.67431507,3.98851027,5.07075342,132.45633562,14.59160959,38.33989726,158041,1.85724640,2.41151428,0.15424347,0.16489983,4.58790398,0.55052114
AR0600SR,706,3935,438,0.54473438,0.83306250,5.19070313,6.56850000,149.93203125,17.02109375,45.22421875,530960,5.00035095,8.10180664,0.34178925,0.33706570,13.78101254,0.57198139
AR0601SR,568,3157,352,0.50765625,0.74668750,7.34010937,8.59445312,307.16796875,26.73437500,53.13671875,292644,3.13396454,4.46539307,0.23983002,0.27137852,8.11056614,0.54502948
AR0602SR,5504,29090,3240,0.87376562,2.19262500,9.06359375,12.12998438,217.29375000,22.31093750,68.61093750,3156274,36.28886032,48.16091919,2.22931671,2.87347794,89.55257416,0.53084492
AR0603SR,2986,15404,1718,0.74273438,1.75398438,10.44814062,12.94485937,327.32187500,27.03437500,139.99375000,1845874,19.36352158,28.16580200,1.17509079,1.45594597,50.16036034,0.53926129
AR0604SR,500,2778,313,0.40848437,0.72709375,4.36417188,5.49975000,126.83359375,19.15468750,31.31953125,127129,2.00001144,1.93983459,0.17444229,0.23617363,4.35046196,0.50560932
AR0605SR,278,1502,168,0.36126749,0.60032922,4.53252675,5.49412346,147.74650206,21.29053498,38.24032922,60508,1.18944168,0.92327881,0.11328506,0.12468338,2.35068893,0.46860947
AR0700SR,7821,41889,4697,1.62645313,3.72829688,24.00453125,29.35928125,579.22968750,39.48281250,607.16250000,10707378,97.88614273,163.38162231,3.67871475,4.14883327,269.09531307,0.53342976
AR0701SR,2996,16147,1796,1.09640625,2.62203125,18.64910937,22.36754687,487.64921875,35.38125000,382.44453125,4838726,41.53660965,73.83309937,1.42949677,1.56558609,118.36479187,0.54966812
AR0702SR,680,3464,386,0.44175987,0.96761513,6.82179276,8.23116776,189.41282895,22.70476974,105.50986842,291376,3.97139740,4.44604492,0.22503281,0.30742073,8.94989586,0.51384388
AR0704SR,614,3213,357,0.44207813,0.86254687,5.00571875,6.31034375,126.83593750,18.35390625,64.85703125,225202,3.43756866,3.43630981,0.21829605,0.28296947,7.37514400,0.49763291
AR0705SR,864,4119,471,0.37867188,0.91068750,3.02581250,4.31517188,71.65000000,10.33359375,12.69687500,155380,2.55134583,2.37091064,0.20095444,0.34889030,5.47210121,0.49899236
AR0709SR,486,2542,283,0.50530179,0.82269168,7.42703100,8.75502447,246.25285481,25.43474715,109.96574225,234448,3.22104263,3.57739258,0.21220016,0.22358894,7.23422432,0.50434379
AR0711SR,502,2600,290,0.40701563,0.71534375,3.70546875,4.82782812,108.57421875,16.47500000,19.40468750,84153,1.55096436,1.28407288,0.14228439,0.21851730,3.19583893,0.48406658
