Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels,ViaLabelsWithPrunedAvg,MapsIncludedRatio
meshLambda9Comp1
bgmaps.csv,1294.3866666666668,1.0,764.92,1.0920632883368204,0.15169908671025878,1.6851390914704998,1.4935935944817238,1.0,1.220957936527097,0.3001602711320002,0.6202081461045762,1.3656472825540233,0.5837253141946659,19.437437033243427,1.0,0.810332203967545,0.6138127909333333,0.6148001004702915,75/75
da2.csv,1182.9402985074628,1.0,614.6119402985074,1.0353022546306545,0.17322210082865416,1.5592907079243956,1.366702173156392,1.0,1.3294151333043545,0.3058904116788367,0.612386017093616,1.3635424140296257,0.5763633116023529,15.08042706551202,1.0,0.8386606598820475,0.6012813761194031,0.7089356280052396,67/67
dao.csv,1669.077922077922,1.0,914.9480519480519,1.0522497018092336,0.16947697411645363,1.5013018046045,1.355942048200711,1.0,1.2895035749171282,0.29151840149229863,0.6162857610498981,1.364517114148856,0.5800339163705511,17.833495977605974,1.0,0.8360082048466164,0.5999108905844158,0.6772169170635828,154/156
rooms.csv,12643.78947368421,1.0,7168.736842105263,0.9971187783564115,0.2832361934059322,1.3904267799499466,1.215282752041219,1.0,1.3414754830534716,0.2819592825765029,0.5836118342633889,1.3763465884357562,0.5492817263005759,9.277497339385492,1.0,0.7982539539687821,0.5775975784210526,0.5906760061899353,38/40

meshLambda9Comp3
bgmaps.csv,1294.3866666666668,1.0,764.92,1.0797310503903936,0.1471821222745621,1.7689271173376975,1.5540484952433142,1.0,1.2474584905165322,0.3001602711320002,0.5211076491870563,1.3122177997326716,0.490454258426584,19.840558517794648,1.0,0.729908608075118,0.5121977287999998,0.6148001004702915,75/75
da2.csv,1182.9402985074628,1.0,614.6119402985074,1.0984616770720572,0.17290827157935573,1.7576754385332753,1.5319946328525846,1.0,1.3744790573752526,0.3058904116788367,0.506343441619701,1.301457926239581,0.476558533771654,15.480788285414254,1.0,0.7545251164206752,0.4908606401492535,0.7089356280052396,67/67
dao.csv,1679.9477124183006,1.0,920.9150326797386,1.1039869913440266,0.16183708474427724,1.6640469585955981,1.4853972677722618,1.0,1.3365565568697702,0.29342375052166003,0.5066780356153885,1.3038493576941295,0.47687344735379794,18.325224460404755,1.0,0.7482248773036722,0.4884640184313726,0.6751072237110571,153/156
rooms.csv,12643.78947368421,1.0,7168.736842105263,0.9967157530743435,0.2614187342697189,1.5680293902218314,1.3123136848807977,1.0,1.406010302072082,0.2819592825765029,0.46135809301864855,1.3320265174573098,0.4342193817176542,9.689721190504653,1.0,0.7060715364949498,0.45290439499999996,0.5906760061899353,38/40

meshLambda9Comp5
bgmaps.csv,1294.3866666666668,1.0,764.92,1.0848793648680572,0.148421769259069,1.7864090178566006,1.5722591130875239,1.0,1.2488707348453756,0.3001602711320002,0.5190031559277029,1.3089117176119278,0.4884735587973136,19.878610007627803,1.0,0.7277184038437468,0.5099172906666666,0.6148001004702915,75/75
da2.csv,1234.265625,1.0,641.34375,1.0738069348517432,0.16132115212754444,1.7318594292127532,1.4937476161988104,1.0,1.3830097328315587,0.30717016817008497,0.5057761232478322,1.3008305497463164,0.4760245863204676,15.768561484541696,1.0,0.7481104652997577,0.4919119029687501,0.7075464449432521,64/67
dao.csv,1989.390625,1.0,1091.2578125,1.057989855847593,0.13317116380643984,1.6390663052688863,1.4643563472669254,1.0,1.3284450975730588,0.2998895021085759,0.5063859730567181,1.3053934628562216,0.47659856232308184,19.85395022762682,1.0,0.7257728439363954,0.49549123859375,0.6597336199391646,128/156
rooms.csv,13313.166666666666,1.0,7549.166666666667,0.9967621733206828,0.26160135020901243,1.5823678691369283,1.3197616433527193,1.0,1.4120628173989331,0.2817141602056974,0.45861414407539514,1.3308360501954106,0.43163684171248107,9.750637489841273,1.0,0.7010285898994159,0.45064198694444446,0.5833923589529908,36/40

meshLambda9Comp6
bgmaps.csv,2426.233333333333,1.0,1437.4,1.113576181874147,0.12474480754124508,1.8631858935504477,1.6618950307639204,1.0,1.2561936848767132,0.30330027668819987,0.5332137151599639,1.3209024315275415,0.5018482024302281,21.96468552534352,1.0,0.7033999144194645,0.5281572253333333,0.5739465622352959,30/75
da2.csv,1858.7368421052631,1.0,998.5263157894736,1.0478852409442854,0.14723825563940837,1.75645727968057,1.5247158248269788,1.0,1.3316171967370984,0.3113674400606494,0.5181077246457125,1.3049987775666725,0.48763079963013867,18.551405982904587,1.0,0.7305227337434035,0.5086985257894735,0.7184558474498189,19/67
dao.csv,3010.2428571428572,1.0,1671.7,1.1047193702313767,0.10824288751178104,1.7707759740036295,1.6037833594781004,1.0,1.3022141200410369,0.3032722853790637,0.5159691123362942,1.3158286328716984,0.48561798806273526,22.884151991574562,1.0,0.6965462482048194,0.5104029362857142,0.6377980472997108,70/156
rooms.csv,35276.0,1.0,20099.0,0.9543740333527618,0.2835417307814071,1.5916366696409754,1.315687052025818,1.0,1.5450631041425391,0.27137908113328196,0.4535381667687924,1.346753953640753,0.4268594510813866,10.03650672569397,1.0,0.6696530221394885,0.45090747,0.49501157938081863,1/40

meshLambda-1Comp1
