4.89988, 6.90309, 7.81773
4.55274, 6.91824, 7.83019
4.09748, 6.94201, 7.9043
4.23773, 6.87402, 7.7755
4.17551, 6.92416, 7.91462
4.27649, 6.94507, 7.88349
4.65899, 6.95868, 7.90757
4.55501, 6.90878, 7.85756
4.41186, 6.9232, 7.85831
4.58236, 6.93637, 7.88823
4.06739, 11.2089, 10.4356
3.44483, 11.4664, 10.7809
3.41968, 11.3272, 10.7808
3.88488, 10.9698, 10.4399
3.48594, 11.8781, 10.7395
3.2985, 11.0462, 9.887
3.58198, 11.3436, 10.7226
3.80214, 11.1047, 10.3432
3.17927, 10.9554, 10.1977
3.4185, 11.5816, 10.6766
4.48585, 7.79612, 8.68538
3.74429, 7.70777, 8.55248
3.9952, 7.63603, 8.49722
3.72628, 7.78323, 8.61589
3.64296, 7.61846, 8.43984
3.56511, 7.67718, 8.51292
3.94155, 7.63415, 8.45253
4.28725, 7.77526, 8.59387
3.65958, 7.68489, 8.62371
3.56911, 7.73099, 8.55386
3.46161, 11.5714, 10.4788
3.22438, 11.4443, 11.064
3.57825, 12.0768, 10.9552
3.40052, 12.1193, 10.5583
3.63127, 11.4313, 9.31648
3.12581, 11.8406, 11.0358
3.07711, 11.6988, 10.9687
2.81338, 10.967, 9.758
3.20769, 11.0817, 10.3716
3.83235, 9.95591, 9.04785
3.39661, 9.32549, 9.54954
3.16874, 9.17633, 9.39971
4.28695, 9.3251, 9.49622
3.93116, 9.30425, 9.61901
3.12573, 9.19383, 9.5008
3.83708, 9.21202, 9.37964
3.29111, 9.13134, 9.4023
3.22771, 9.41452, 9.73958
3.44511, 9.25968, 9.41881
3.41043, 9.22392, 9.49291
3.13402, 10.4082, 9.99195
3.50149, 10.555, 10.2766
3.2079, 10.6165, 10.1887
3.18812, 10.4179, 10.1744
3.49286, 10.2364, 10.0604
3.35348, 10.1825, 9.84604
3.55607, 10.9197, 10.5486
3.2149, 10.5674, 10.3181
3.3953, 10.7333, 10.6245
3.26225, 10.408, 10.0565
