Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
lt_hangedman_n,655,3034,346,0.35381481,0.58600000,1.95707407,2.89688889,52.43888889,8.33333333,7.55185185,120864,1.95027542,1.84423828,0.14657211,0.24705029,4.18813610,0.59989819
lt_house,118,445,58,0.30257143,0.48085714,0.93442857,1.71785714,14.67142857,3.76428571,3.75000000,6064,0.13701248,0.09252930,0.01653290,0.02911472,0.27518940,0.57074090
lt_ruinedhouse_n,104,458,56,0.35146667,0.40853333,0.81026667,1.57026667,20.19333333,5.42000000,1.62666667,5234,0.12966156,0.07986450,0.01710892,0.03072071,0.25735569,0.50596476
lt_shop,122,540,62,0.30345455,0.44454545,1.10727273,1.85527273,28.58181818,6.07272727,3.33636364,9209,0.18969727,0.14051819,0.02325821,0.03697777,0.39045143,0.57861291
lt_undercitydungeon,592,2593,309,0.36343137,0.58050980,2.06631373,3.01025490,56.80980392,9.62549020,12.25980392,131626,1.89088821,2.00845337,0.13412094,0.21463490,4.24809742,0.61268435
lt_undercityencounter,385,1725,213,0.30582051,0.53405128,1.60030769,2.44017949,42.51923077,6.99230769,4.60512821,60849,0.99604416,0.92848206,0.07704926,0.13854313,2.14011860,0.59239555
lt_undercityserialkiller,749,3278,388,0.37638298,0.60851064,2.57627660,3.56117021,68.92659574,11.50744681,22.58510638,208913,2.87456894,3.18775940,0.17244339,0.27635479,6.51112652,0.61543304
lt_warehouse,363,1567,184,0.34926087,0.54413043,2.01460870,2.90800000,52.31956522,8.87173913,10.29565217,51499,0.91387558,0.78581238,0.07100677,0.12290859,1.89360332,0.57777491
lt_warehouse_n,361,1559,182,0.34817391,0.53743478,1.87047826,2.75608696,49.57826087,8.35652174,16.92608696,51728,0.89587021,0.78930664,0.07095337,0.12282372,1.87895393,0.57560137
w_blightlands,1869,9788,1101,0.60034234,1.06138739,6.30882883,7.97055856,193.66216216,19.83378378,25.88738739,1506387,13.00884247,22.98564148,0.76757050,0.86445808,37.62651253,0.64098103
w_bonepit,1486,7688,872,0.58701818,0.82712727,6.30820000,7.72234545,221.07090909,26.50090909,78.60454545,757164,8.64428711,11.55340576,0.63645935,0.66242599,21.49657822,0.61253986
w_bonepitdestroyed_a3,2031,9672,1124,0.66795322,0.95521637,7.84483041,9.46800000,323.44619883,32.55614035,100.39707602,1228898,13.17768860,18.75149536,0.95164108,0.84381199,33.72463703,0.60967063
w_bonepitmining_a2,1561,7377,865,0.65774775,0.97095495,7.91120721,9.53990991,295.84954955,28.39639640,74.36756757,814472,8.92182922,12.42785645,0.57535934,0.63436413,22.55940914,0.60380643
w_encounter1,780,4069,456,0.54477966,0.68064407,4.36267797,5.58810169,160.18135593,16.82203390,43.71525424,350701,3.99337006,5.35127258,0.30044937,0.34186554,9.98695755,0.59641924
w_encounter2,1711,8531,954,0.79521053,1.15133333,8.34454386,10.29108772,304.61491228,29.00175439,134.63596491,1390087,12.65322113,21.21104431,0.87953949,0.74465179,35.48845673,0.61245236
w_encounter2_camp,1770,8866,987,0.69877686,0.96042975,8.70720661,10.36641322,325.69173554,31.42479339,115.32148760,1516936,13.42681122,23.14660645,0.89753723,0.76635838,38.23731327,0.61740661
w_encounter3,913,4743,533,0.56771111,0.80946667,4.42288889,5.80006667,133.51222222,16.32444444,23.39444444,503151,4.88895798,7.67747498,0.33802795,0.39929199,13.30375290,0.62875003
w_sundermount,3645,18701,2110,0.76035928,1.47765269,8.38340120,10.62141317,306.74071856,23.84910180,76.94790419,2392653,24.75780869,36.50898743,1.56507111,1.76763248,64.59949970,0.61365609
w_woundedcoast,4596,23099,2629,0.68896262,1.48180374,5.19505607,7.36582243,135.00747664,16.21401869,36.90420561,2366014,24.72772980,36.10250854,1.57202530,2.18281555,64.58507919,0.62162463
